transaction_id,transaction_date,merchant_id,merchant_name,merchant_account_manager,merchant_category,currency,amount_usd,high_value_flag,status,risk_score,high_risk_flag,gateway_region,user_id,payment_method
T001,01-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,4998,0,CAPTURED,62,0,APAC,U001,UPI
T002,01-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,2499,0,CAPTURED,55,0,MISSING,U002,Card
T003,01-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,6069,1,CAPTURED,71,1,APAC,U003,NetBanking
T004,02-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,1920,0,FAILED E05 TIMEOUT,68,0,APAC,U004,Card
T005,02-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,4680,0,CAPTURED,58,0,MISSING,U001,UPI
T006,02-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,3300,0,CAPTURED,64,0,MISSING,U005,Wallet
T007,02-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,5400,1,CHARGEBACK,83,1,APAC,U006,Card
T008,03-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,4114,0,CAPTURED,59,0,MISSING,U007,UPI
T009,03-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,1512.5,0,CAPTURED,46,0,APAC,U002,Wallet
T010,03-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,7381,0,CAPTURED,77,1,MISSING,U003,Card
T011,03-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,2359.5,0,FAILED E05 TIMEOUT,MISSING,0,MISSING,U008,UPI
T012,04-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,3000,0,CAPTURED,61,0,APAC,U009,Card
T013,04-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,3720,0,CAPTURED,54,0,APAC,U010,UPI
T014,04-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,5640,1,CAPTURED,73,1,APAC,U001,NetBanking
T015,04-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,1560,0,CAPTURED,52,0,MISSING,U002,Card
T016,05-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,2596,0,FAILED E05 TIMEOUT,69,0,MISSING,U008,Card
T017,05-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,2124,0,FAILED E05 TIMEOUT,72,1,APAC,U008,Card
T018,05-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,1711,0,CHARGEBACK,86,1,APAC,U008,UPI
T019,05-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,3068,0,FAILED E05 TIMEOUT,67,0,APAC,U008,Wallet
T020,05-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,6136,1,CAPTURED,75,1,APAC,U005,UPI
T021,06-03-2026,M002,BETA STORES,Rohan Mehta,Electronics,INR,3927,0,CAPTURED,63,0,MISSING,U006,Card
T022,06-03-2026,M001,ALPHA MART,Aisha Khan,Grocery,INR,4879,0,CAPTURED,60,0,APAC,U007,UPI
T023,01-03-2026,M003,CITY PHARMA,Elena Rossi,Healthcare,EUR,5616,0,CAPTURED,42,0,EU,U003,Card
T024,02-03-2026,M005,ECO HOME,Nina Weber,Home,EUR,6649,1,CHARGEBACK,65,1,EU,U004,Card
T025,03-03-2026,M003,CITY PHARMA,Elena Rossi,Healthcare,EUR,3024,0,CAPTURED,38,0,EU,U005,Wallet
T026,05-03-2026,M005,ECO HOME,Nina Weber,Home,EUR,3597,0,FAILED E05 TIMEOUT,44,0,EU,U006,NetBanking
T027,01-03-2026,M004,DELTA TRAVELS,Marcus Lee,Travel,USD,7200,1,CAPTURED,49,0,US,U007,Card
T028,02-03-2026,M004,DELTA TRAVELS,Marcus Lee,Travel,USD,3100,0,CAPTURED,41,0,US,U008,Card
T029,04-03-2026,M004,DELTA TRAVELS,Marcus Lee,Travel,USD,2500,0,CHARGEBACK,58,1,US,U009,Wallet
T030,06-03-2026,M004,DELTA TRAVELS,Marcus Lee,Travel,USD,1800,0,FAILED E05 TIMEOUT,47,0,US,U010,UPI
